LINK_ID,ObjectID
0,0
0,1
0,2
0,3
0,4
0,5
0,6
0,7
0,8
0,9
0,11
0,13
0,15
0,17
0,19
0,21
0,23
0,25
0,27
1,8
1,10
1,12
1,14
1,16
1,18
1,20
1,22
2,22
2,24
2,26
2,28
2,29
2,30
2,31
2,32
2,33
2,34
2,35
2,36
3,36
3,37
3,38
3,39
4,39
4,40
4,41
4,42
4,43
4,44
4,45
4,46
4,47
4,48
5,48
5,49
5,50
6,50
6,51
7,52
7,53
7,54
7,55
8,56
8,57
8,58
8,59
9,59
9,60
10,60
10,61
10,62
10,63
10,64
11,65
11,66
11,67
11,68
12,68
12,69
13,69
13,70
13,71
13,72
13,73
13,74
14,74
14,75
15,75
15,76
15,78
15,80
15,82
15,84
16,75
16,77
16,79
16,81
16,83
16,85
17,84
17,86
17,88
17,90
17,92
17,94
17,96
17,98
17,100
18,85
18,87
18,89
18,91
18,93
18,95
18,97
18,99
18,101
19,100
19,102
20,101
20,103
21,102
21,104
21,106
22,103
22,105
22,107
23,106
23,108
23,110
23,112
24,107
24,109
24,111
24,113
25,112
25,114
25,116
25,118
25,120
25,122
25,124
25,126
26,113
26,115
26,117
26,119
26,121
26,123
26,125
26,127
27,127
27,128
27,129
27,131
27,133
27,135
27,137
27,139
28,128
28,130
29,130
29,132
29,134
30,134
30,136
30,138
30,140
31,139
31,141
32,140
32,142
33,141
33,143
33,145
33,147
33,149
33,151
34,142
34,144
34,146
34,148
34,150
34,152
35,153
35,154
35,155
35,156
36,156
36,157
37,158
37,159
37,160
37,161
37,162
38,162
38,163
38,164
38,165
38,166
38,167
38,168
38,169
38,170
39,171
39,172
39,173
39,174
39,175
39,176
39,177
39,178
39,179
39,180
39,181
40,182
40,183
40,184
40,185
40,186
40,187
40,188
40,189
40,190
40,191
40,192
41,193
41,194
42,194
42,195
42,196
42,197
43,197
43,198
43,199
43,200
43,201
43,202
43,203
43,204
43,205
43,206
43,207
43,208
43,209
43,210
43,211
44,211
44,212
45,212
45,213
45,214
45,215
45,216
45,217
46,218
46,219
46,220
46,221
46,222
47,223
47,224
47,225
47,226
47,227
