ImageNumber,ObjectNumber,TrackObjects_Label_15,TrackObjects_ParentImageNumber_15,TrackObjects_ParentObjectNumber_15,TrackObjects_TrajectoryX_15,TrackObjects_TrajectoryY_15
1,1,1,0.0,0,0.0,0.0
1,2,2,0.0,0,0.0,0.0
1,3,3,0.0,0,0.0,0.0
1,4,4,0.0,0,0.0,0.0
2,1,1,1.0,1,0.50927943949949395,0.23130236166929308
2,2,2,1.0,2,-3.0688686781383012,-2.6335055394044176
2,3,3,1.0,3,1.5301220402243132,-0.072016974153825686
2,4,4,1.0,4,-2.0310476260638666,-11.609895844296176
2,5,4,1.0,4,6.6723907602813597,18.016204173430737
3,1,1,2.0,1,-1.2113286552897762,0.2557654200837689
3,2,2,2.0,2,-2.9330957023316842,-0.28933097733365543
3,3,3,2.0,3,-9.8885148985716285,-15.676250111604915
3,4,5,0.0,0,0.0,0.0
3,5,3,2.0,3,9.6544931589436089,13.056458020494318
3,6,4,2.0,4,-0.44509632802129317,-1.241843103031016
3,7,4,2.0,5,1.1464012632978893,3.2681308178191557
4,1,1,3.0,1,0.0,0.0
4,2,2,3.0,2,0.0,0.0
4,3,3,3.0,3,0.0,0.0
4,4,5,3.0,4,0.0,0.0
4,5,3,3.0,5,0.0,0.0
4,6,4,3.0,6,0.0,0.0
4,7,4,3.0,7,0.0,0.0
5,1,1,4.0,1,-10.763715830280773,-16.981144602149286
5,2,2,4.0,2,-5.4817873804647661,0.7430711348139738
5,3,3,4.0,3,-0.75677494103101139,-3.5143551856354662
5,4,1,4.0,1,10.081682399555802,17.775556141159932
5,5,3,4.0,5,2.9054755824301424,4.4676674097113818
5,6,4,4.0,6,-1.7406961248597668,-5.1159492851280959
5,7,4,4.0,7,4.9642576213955181,4.2470195499107888
6,1,1,5.0,1,-0.92004886141950237,-1.5293952487739091
6,2,2,5.0,2,-2.8884475609188485,-0.84467614457015117
6,3,3,5.0,3,-1.8541939753041561,-3.6790512126929187
6,4,1,5.0,4,1.6178400963310082,3.0158830100538268
6,5,3,5.0,5,3.1630055538945783,4.4472858672455686
6,6,4,5.0,6,0.19156205399212922,-1.4146594357770255
6,7,4,5.0,7,2.2209424321304709,2.7027418132186938
7,1,1,6.0,1,0.0,0.0
7,2,2,6.0,2,0.0,0.0
7,3,3,6.0,3,0.0,0.0
7,4,1,6.0,4,0.0,0.0
7,5,3,6.0,5,0.0,0.0
7,6,4,6.0,6,0.0,0.0
7,7,4,6.0,7,0.0,0.0
8,1,1,7.0,1,-6.6576790960897938,-4.2403604598426412
8,2,3,7.0,3,-5.5274568287256756,-7.4311820043951329
8,3,2,7.0,2,-8.2910398093981144,-0.50429944855202535
8,4,1,7.0,4,3.0635798618331478,8.837568448048799
8,5,3,7.0,5,2.725026854863529,5.0139983323693116
8,6,4,7.0,6,0.22974327514970128,-3.7060649354241946
8,7,6,0.0,0,0.0,0.0
8,8,4,7.0,7,2.632409666690819,3.7388702330238459
9,1,1,8.0,1,-2.9458533693996856,-1.8234339319456154
9,2,3,8.0,2,-1.9348445858323942,-1.1540748095315294
9,3,2,8.0,3,-4.4929646092217013,0.89577006117648494
9,4,1,8.0,4,0.92767195767191879,2.2838095238095235
9,5,3,8.0,5,2.3544244179809084,1.7866323355863045
9,6,4,8.0,6,-1.0223088649155443,-2.7430394729127556
9,7,6,8.0,7,0.89169850221333036,-0.43006644875700317
9,8,4,8.0,8,0.052500331140493017,0.76175725197578004
10,1,1,9.0,1,0.0,0.0
10,2,3,9.0,2,0.0,0.0
10,3,2,9.0,3,0.0,0.0
10,4,1,9.0,4,0.0,0.0
10,5,3,9.0,5,0.0,0.0
10,6,4,9.0,6,0.0,0.0
10,7,6,9.0,7,0.0,0.0
10,8,4,9.0,8,0.0,0.0
11,1,1,10.0,1,-6.7897329186359343,-2.6467674632251175
11,2,3,10.0,2,-5.0518429055146896,-2.9381046865227418
11,3,2,10.0,3,-6.0913544524022427,1.5975964575053396
11,4,1,10.0,4,0.40303370786517689,4.7968039950062433
11,5,3,10.0,5,1.764042232277518,3.3236802413273097
11,6,4,10.0,6,-1.6320237778958813,-3.8129306837805643
11,7,6,10.0,7,-0.61583841376352666,-1.4668081633254531
12,1,1,11.0,1,-3.3368361316582309,-0.96595045203710228
12,2,3,11.0,2,-2.9057429452170283,-0.64016889849239789
12,3,2,11.0,3,-2.7675676667428775,0.62839533354221544
12,4,1,11.0,4,-0.99037422897924898,2.1446036120617435
12,5,3,11.0,5,-1.5704575163398431,0.57385620915032121
12,6,4,11.0,6,-1.1812305324489216,-1.7831922508458717
12,7,6,11.0,7,-1.1597258478777803,-0.90672730904134369
13,1,1,12.0,1,0.0,0.0
13,2,3,12.0,2,0.0,0.0
13,3,2,12.0,3,0.0,0.0
13,4,1,12.0,4,0.0,0.0
13,5,3,12.0,5,0.0,0.0
13,6,4,12.0,6,0.0,0.0
13,7,6,12.0,7,0.0,0.0
14,1,1,13.0,1,-8.3236551030668693,-3.0343137254901968
14,2,3,13.0,2,-9.5059843700403803,-3.2194460558431786
14,3,2,13.0,3,-5.7275694618443822,1.5384948413895572
14,4,3,13.0,5,-5.3921568627451109,0.21960784313725412
14,5,4,13.0,6,-3.4729064039408968,-2.5120656814449944
14,6,6,13.0,7,-3.6703460081236017,0.17072783817783943
15,1,1,14.0,1,-4.7413520132398332,-1.1848961571943804
15,2,3,14.0,2,-6.8946473376080348,-0.92517424031223783
15,3,2,14.0,3,-1.0428798957503886,0.58832802432491604
15,4,3,14.0,4,-6.4248731234829961,0.73449595592990136
15,5,4,14.0,5,-2.7280672268907438,-1.0170756302520942
15,6,6,14.0,6,-3.8320343250883866,0.30784222822182983
16,1,1,15.0,1,0.0,0.0
16,2,3,15.0,2,0.0,0.0
16,3,2,15.0,3,0.0,0.0
16,4,3,15.0,4,0.0,0.0
16,5,4,15.0,5,0.0,0.0
16,6,6,15.0,6,0.0,0.0
17,1,1,16.0,1,-10.183778804020449,-0.67617844024236007
17,2,3,16.0,2,-14.559692275486711,0.37928616286372119
17,3,2,16.0,3,-3.8624060150375499,1.5290973994619534
17,4,7,0.0,0,0.0,0.0
17,5,3,16.0,4,-12.078122834052238,1.7662936470018309
17,6,4,16.0,5,-5.1326470588235793,-0.85497198879551206
17,7,6,16.0,6,-8.6119037685996318,-0.010832985676529461
18,1,1,17.0,1,-5.6109251876641792,-0.22045706057252445
18,2,3,17.0,2,-7.8058734489209911,0.69189621221931219
18,3,3,17.0,5,-6.9935947508201934,1.1680674894547707
18,4,4,17.0,6,-2.6488410596026029,-0.2472485020498425
18,5,6,17.0,7,-4.602657330101465,0.051306221384322725
19,1,1,18.0,1,0.0,0.0
19,2,3,18.0,2,0.0,0.0
19,3,3,18.0,3,0.0,0.0
19,4,4,18.0,4,0.0,0.0
19,5,6,18.0,5,0.0,0.0
20,1,1,19.0,1,-11.962894745944453,0.2443620075403814
20,2,3,19.0,2,-17.998819831794975,0.73442333254655523
20,3,3,19.0,3,-16.160439235405022,1.07748733685807
20,4,4,19.0,4,-7.2626658760846112,-0.35062425360982274
20,5,6,19.0,5,-14.185060918780607,0.073661735549791274
21,1,1,20.0,1,-7.3704314295294466,0.30789650162065385
21,2,3,20.0,2,-11.588420825553627,0.57293983530584569
21,3,8,0.0,0,0.0,0.0
21,4,9,0.0,0,0.0,0.0
21,5,3,20.0,3,-11.49114218264242,-0.21440258400546952
21,6,4,20.0,4,-5.1754219983229177,-0.32493966880252856
21,7,6,20.0,5,-6.9691773308477423,0.017707729839855801
